Repository 1,Repository 2,Similarity Score
dataoverheid/ckanext-donl,dataoverheid/ckanext-dataoverheid,0.608291138911751
dataoverheid/ckanext-donl,etalab/ckanext-etalab,0.5975716818521916
dataoverheid/DCAT-AP-NL,dataoverheid/dcat-ap-donl-waardelijsten,0.5444241973961306
dataoverheid/DCAT-AP-NL,dataoverheid/dcat-ap-donl,0.6445516948282713
dataoverheid/DCAT-AP-NL,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.5521329084504722
dataoverheid/DCAT-AP-NL,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.8639328563344938
dataoverheid/waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,0.5634027299473424
dataoverheid/ckanext-dataoverheid,etalab/ckanext-etalab,0.5920107532078223
dataoverheid/dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl,0.8446555982467507
dataoverheid/dcat-ap-donl-waardelijsten,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.723544993894098
dataoverheid/donlsync-mappings,dataoverheid/donlsync,0.7012706530598439
dataoverheid/dcat-ap-donl,dataoverheid/readthedocs-dcat-ap-donl-1.1,0.8566154008757635
dataoverheid/dcat-ap-donl,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.5568493867682273
dataoverheid/readthedocs-dcat-ap-donl-1.1,dataoverheid/readthedocs-dcat-ap-nl-1.1,0.7368445557010364
usagov/usagov.github.io,etalab/.github,0.5929665624448411
usagov/usa.gov,usagov/1.USA.gov-Data,0.8826996589018176
usagov/usa.gov,usagov/1.usa.gov,1.0000000000000002
usagov/usa.gov,usagov/beta.usa.gov-static-form,0.5785452448981838
usagov/1.USA.gov-Data,usagov/1.usa.gov,0.8826996589018176
usagov/1.USA.gov-Data,usagov/beta.usa.gov-static-form,0.5106816903308953
usagov/vote-gov,usagov/vote-gov-static,0.7693697308138289
usagov/vote-gov,usagov/vote-gov-drupal,0.7693697308138289
usagov/vote-gov,usagov/vote-gov-nvrf-prototype,0.6291313477633376
usagov/vote-gov,usagov/vote-gov-nvrf-app,0.6516461104018832
usagov/vote-gov,usagov/vote-gov-tf,0.7305468256335294
usagov/vote-gov,usagov/vote-gov-pdf-tool,0.6033043308473911
usagov/vote-gov-static,usagov/vote-gov-drupal,0.5919297826925436
usagov/vote-gov-static,usagov/vote-gov-nvrf-app,0.5013567925457756
usagov/vote-gov-static,usagov/vote-gov-tf,0.5620606145845658
usagov/1.usa.gov,usagov/beta.usa.gov-static-form,0.5785452448981838
usagov/usagov-prototype,usagov/vote-gov-nvrf-prototype,0.5203351305065711
usagov/vote-gov-drupal,usagov/vote-gov-nvrf-app,0.5013567925457756
usagov/vote-gov-drupal,usagov/vote-gov-tf,0.5620606145845658
usagov/vote-gov-nvrf-prototype,usagov/vote-gov-nvrf-app,0.7228790289224606
usagov/usagov-logshipper,usagov/cg-logshipper,0.6355285082781694
opencode18/Resources,etalab/de-resources-app-ui,0.5585161943004789
etalab/ckanext-etalab,etalab/ckanext-fedmsg,0.5892538011890043
etalab/ckanext-etalab,etalab/ckanext-oauth2,0.5892538011890043
etalab/ckanext-etalab,etalab/ckanext-youckan,0.6142866295761295
etalab/ckanext-etalab,etalab/ckanext-sentry,0.5892538011890043
etalab/etalab-to-ckan,etalab/ckan-toolbox,0.6098602295632485
etalab/etalab-to-ckan,etalab/etalab-ckan-harvesters,0.6481612104059175
etalab/etalab-to-ckan,etalab/etalab-ckan-scripts,0.6481612104059175
etalab/etalab-to-ckan,etalab/ckan-of-worms,0.6098602295632485
etalab/etalab-assets,etalab/etalab-assets-demo-images,0.5980123587532836
etalab/youckan,etalab/ckanext-youckan,0.7785617897560593
etalab/landing-page,etalab/transport-landing-page,0.9012838675940432
etalab/udata-gouvfr,etalab/udata-schema-gouvfr,0.9061747276896468
etalab/ban-geocode,etalab/ban-data,0.5754786380626097
etalab/api-urbanisme,etalab/couverture-urbanisme,0.5668676977978493
etalab/collectivites.data.gouv.fr,etalab/cartes.data.gouv.fr,0.5585425763887216
etalab/collectivites.data.gouv.fr,etalab/id.data.gouv.fr,0.5415100975078675
etalab/collectivites.data.gouv.fr,etalab/geo.data.gouv.fr,0.5585425763887216
etalab/collectivites.data.gouv.fr,etalab/blog.data.gouv.fr,0.5585425763887216
etalab/collectivites.data.gouv.fr,etalab/template.data.gouv.fr,0.5805424792127148
etalab/collectivites.data.gouv.fr,etalab/doc.data.gouv.fr,0.5585425763887216
etalab/collectivites.data.gouv.fr,etalab/agd.data.gouv.fr,0.5415100975078675
etalab/collectivites.data.gouv.fr,etalab/etalab.gouv.fr,0.5959900914941827
etalab/collectivites.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5585425763887216
etalab/cartes.data.gouv.fr,etalab/id.data.gouv.fr,0.5415100975078675
etalab/cartes.data.gouv.fr,etalab/geo.data.gouv.fr,0.5585425763887216
etalab/cartes.data.gouv.fr,etalab/blog.data.gouv.fr,0.5585425763887216
etalab/cartes.data.gouv.fr,etalab/template.data.gouv.fr,0.5805424792127148
etalab/cartes.data.gouv.fr,etalab/doc.data.gouv.fr,0.5585425763887216
etalab/cartes.data.gouv.fr,etalab/agd.data.gouv.fr,0.5415100975078675
etalab/cartes.data.gouv.fr,etalab/etalab.gouv.fr,0.5959900914941827
etalab/cartes.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5585425763887216
etalab/id.data.gouv.fr,etalab/geo.data.gouv.fr,0.5415100975078675
etalab/id.data.gouv.fr,etalab/blog.data.gouv.fr,0.5415100975078675
etalab/id.data.gouv.fr,etalab/template.data.gouv.fr,0.562839124205186
etalab/id.data.gouv.fr,etalab/doc.data.gouv.fr,0.5415100975078675
etalab/id.data.gouv.fr,etalab/agd.data.gouv.fr,0.5249970156239305
etalab/id.data.gouv.fr,etalab/etalab.gouv.fr,0.5778156692107358
etalab/id.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5415100975078675
etalab/geo.data.gouv.fr,etalab/blog.data.gouv.fr,0.5585425763887216
etalab/geo.data.gouv.fr,etalab/template.data.gouv.fr,0.5805424792127148
etalab/geo.data.gouv.fr,etalab/doc.data.gouv.fr,0.5585425763887216
etalab/geo.data.gouv.fr,etalab/geo.data.gouv.fr-components,0.8150432707943503
etalab/geo.data.gouv.fr,etalab/agd.data.gouv.fr,0.5415100975078675
etalab/geo.data.gouv.fr,etalab/etalab.gouv.fr,0.5959900914941827
etalab/geo.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5585425763887216
etalab/urbaclic,etalab/urbaclic-next,1.0
etalab/sirene,etalab/annuaire-entreprises-sirene-api,0.552920204965208
etalab/blog.data.gouv.fr,etalab/template.data.gouv.fr,0.5805424792127148
etalab/blog.data.gouv.fr,etalab/doc.data.gouv.fr,0.5585425763887216
etalab/blog.data.gouv.fr,etalab/agd.data.gouv.fr,0.5415100975078675
etalab/blog.data.gouv.fr,etalab/etalab.gouv.fr,0.5959900914941827
etalab/blog.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5585425763887216
etalab/transport-datatools-server,etalab/transport-datatools-ui,0.5793970285873804
etalab/transport-site,etalab/piaf-site,0.5111988120736822
etalab/transport-site,etalab/transport-normes-site,0.7161051307616019
etalab/transport-site,etalab/programme10pourcent-site,0.5260326904948227
etalab/irve,etalab/schema-irve,0.8554528819390178
etalab/calculette-impots-m-source-code,etalab/calculette-impots-exemples,0.5210928661119083
etalab/calculette-impots-m-language-parser,etalab/calculette-impots-exemples,0.5210928661119083
etalab/template.data.gouv.fr,etalab/doc.data.gouv.fr,0.5805424792127148
etalab/template.data.gouv.fr,etalab/agd.data.gouv.fr,0.562839124205186
etalab/template.data.gouv.fr,etalab/etalab.gouv.fr,0.6194649789086916
etalab/template.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5805424792127148
etalab/transport-validator-python,etalab/transport-validator,0.7720704195580994
etalab/doc.data.gouv.fr,etalab/doc.entreprise.api.gouv.fr,0.683733820227607
etalab/doc.data.gouv.fr,etalab/agd.data.gouv.fr,0.5415100975078675
etalab/doc.data.gouv.fr,etalab/etalab.gouv.fr,0.5959900914941827
etalab/doc.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5585425763887216
etalab/entreprise.api.gouv.fr,etalab/doc.entreprise.api.gouv.fr,0.8298771518065644
etalab/entreprise.api.gouv.fr,etalab/etalab.gouv.fr,0.6030774771293438
etalab/entreprise.api.gouv.fr,etalab/calendrier.api.gouv.fr,0.5791889142864626
etalab/entreprise.api.gouv.fr,etalab/api-entreprise-integration,0.5836227673754382
etalab/prevair-experiment,etalab/prevair-demo,0.5073057049328242
etalab/doc.entreprise.api.gouv.fr,etalab/etalab.gouv.fr,0.5004802190387883
etalab/agd.data.gouv.fr,etalab/etalab.gouv.fr,0.5778156692107358
etalab/agd.data.gouv.fr,etalab/recherche-data-gouv-fr,0.5415100975078675
etalab/jours-feries-france,etalab/jours-feries-france-data,0.9366833407716753
etalab/plf,etalab/schema-plf,0.8554528819390178
etalab/etalab.studio,etalab/urban-olympics.etalab.studio,0.5156678052112241
etalab/etalab.studio,etalab/data.etalab.studio,0.8144769243436994
etalab/etalab.studio,etalab/recherche.etalab.studio,0.6733149783519339
etalab/etalab.studio,etalab/api.validata.etalab.studio,0.5831507233129122
etalab/etalab.studio,etalab/entraide.etalab.studio,0.6481612104059175
etalab/inventaire-codes-sources-organismes-publics,etalab/ouverture-des-codes-sources-publics,0.5517799643764536
etalab/etalab.gouv.fr,etalab/vuepress-theme-gouv-fr,0.5318642913985848
etalab/etalab.gouv.fr,etalab/vuepress-gouv-fr-demo,0.5483472442947047
etalab/etalab.gouv.fr,etalab/guides.etalab.gouv.fr,0.6948348485906387
etalab/etalab.gouv.fr,etalab/sill.etalab.gouv.fr,0.7272321223976222
etalab/etalab.gouv.fr,etalab/calendrier.api.gouv.fr,0.5903058558229318
etalab/etalab.gouv.fr,etalab/recherche-data-gouv-fr,0.5959900914941827
etalab/api-codes-sources-fr,etalab/data-codes-sources-fr,0.8202726876274711
etalab/data.etalab.studio,etalab/recherche.etalab.studio,0.5483995126826275
etalab/data.etalab.studio,etalab/entraide.etalab.studio,0.5279123491303009
etalab/vuepress-theme-gouv-fr,etalab/vuepress-gouv-fr-demo,0.6685249257037593
etalab/piaf-site,etalab/piaf,0.7622543639307456
etalab/guides.etalab.gouv.fr,etalab/sill.etalab.gouv.fr,0.5053062216564006
etalab/guides.etalab.gouv.fr,etalab/pandoc-guides,0.506164328528012
etalab/transport-topo,etalab/transport-topo-tools,0.7720704195580994
etalab/transport-topo-tools,etalab/transport-tools,0.7720704195580994
etalab/sill.etalab.gouv.fr,etalab/sill-csv,0.5031699060204966
etalab/recherche.etalab.studio,etalab/recherche-data-gouv-fr,0.5076567961047767
etalab/schema-stationnement,etalab/schema-stationnement-cyclable,0.7395256165276245
etalab/covid19-dashboard,etalab/covid19-data,0.5667340540325003
etalab/covid19-dashboard,etalab/covid19-dashboard-widgets,0.7869581751715478
etalab/covid19-dashboard,etalab/data-covid19-dashboard-widgets,0.7252599674563275
etalab/covid19-orientation,etalab/covid19-data,0.5003663978366681
etalab/dashboard-aides-entreprises,etalab/reports-aides-entreprises,0.6815071631742912
etalab/covid19-data,etalab/covid19-timeline,0.5003663978366681
etalab/covid19-data,etalab/data-covid19-dashboard-widgets,0.6447087560505534
etalab/csv-detective-ml,etalab/csv-detective-perf,0.6168164682087277
etalab/annuaire-entreprises-sirene-api,etalab/statut.annuaire-entreprises.data.gouv.fr,0.5006008905167522
etalab/radar-tech,etalab/radar-tech-frontend,0.770663391955961
etalab/radar-tech,etalab/radar-tech-backend,0.770663391955961
etalab/radar-tech,etalab/radar-tech-form,0.8059594531949752
etalab/radar-tech-frontend,etalab/radar-tech-backend,0.593922063701067
etalab/radar-tech-frontend,etalab/radar-tech-form,0.621123445978211
etalab/radar-tech-backend,etalab/radar-tech-form,0.621123445978211
etalab/reports-barometre-resultats,etalab/barometre-resultats,0.7912439608004799
etalab/reports-barometre-resultats,etalab/barometre-resultats-donnees,0.6541633132186035
etalab/reports-barometre-resultats,etalab/barometre-resultats-documentation,0.660408219936709
etalab/barometre-resultats,etalab/barometre-resultats-donnees,0.8267529935480384
etalab/barometre-resultats,etalab/barometre-resultats-documentation,0.8346455109352013
etalab/barometre-resultats-donnees,etalab/barometre-resultats-documentation,0.6900456747171096
etalab/covid19-dashboard-widgets,etalab/data-covid19-dashboard-widgets,0.921599127295716
etalab/covid19-dashboard-widgets,etalab/dashboard-widgets-template,0.6782055127197124
etalab/data-covid19-dashboard-widgets,etalab/dashboard-widgets-template,0.6250336086496304
etalab/schema-comptage-mobilites-channel,etalab/schema-comptage-mobilites-site,0.6814517172566412
etalab/schema-comptage-mobilites-channel,etalab/schema-comptage-mobilites-measure,0.6346459068803846
etalab/schema-comptage-mobilites-channel,etalab/schema-comptage-mobilites,0.7966466637602803
etalab/schema-comptage-mobilites-site,etalab/schema-comptage-mobilites-measure,0.6814517172566412
etalab/schema-comptage-mobilites-site,etalab/schema-comptage-mobilites,0.855400202192647
etalab/gbfs-carsharing-extension,etalab/gbfs-json-schema-carsharing-extension,0.8156169399564119
etalab/schema-vehicules-faibles-emissions-renouvellement-parc,etalab/schema-vehicules-faibles-emissions-renouvellement-parc-synthese,0.908074842081018
etalab/schema-comptage-mobilites-measure,etalab/schema-comptage-mobilites,0.7966466637602803
etalab/transport-profil-netex-fr,etalab/transport-profil-siri-fr,0.6213168527059688
etalab/catalogage-donnees,etalab/catalogage-donnees-config,0.7806720868899939
etalab/helm-charts-sill,etalab/helm-charts,0.8349635412993501
etalab/udata-analysis-service,etalab/udata-event-service,0.6110990825357526
etalab/udata-event-service,etalab/udata-event-orchestration,0.6110990825357526
etalab/udata-event-service,etalab/udata-event-consumer,0.627848700910711
etalab/udata-event-orchestration,etalab/udata-event-consumer,0.5996404537061091
etalab/schema-comptage-mobilites,etalab/schema-comptage-mobilites_test,0.540781609565063
etalab/schema-indice-reparabilite,etalab/schema-indice-durabilite,0.5468981375005632
